sepal_length,petal_length,real,predicha,correcta
5.1,1.4,Iris-setosa,Iris-setosa,True
4.9,1.4,Iris-setosa,Iris-setosa,True
4.7,1.3,Iris-setosa,Iris-setosa,True
4.6,1.5,Iris-setosa,Iris-setosa,True
5.0,1.4,Iris-setosa,Iris-setosa,True
5.4,1.7,Iris-setosa,Iris-setosa,True
4.6,1.4,Iris-setosa,Iris-setosa,True
5.0,1.5,Iris-setosa,Iris-setosa,True
4.4,1.4,Iris-setosa,Iris-setosa,True
4.9,1.5,Iris-setosa,Iris-setosa,True
5.4,1.5,Iris-setosa,Iris-setosa,True
4.8,1.6,Iris-setosa,Iris-setosa,True
4.8,1.4,Iris-setosa,Iris-setosa,True
4.3,1.1,Iris-setosa,Iris-setosa,True
5.8,1.2,Iris-setosa,Iris-setosa,True
5.7,1.5,Iris-setosa,Iris-setosa,True
5.4,1.3,Iris-setosa,Iris-setosa,True
5.1,1.4,Iris-setosa,Iris-setosa,True
5.7,1.7,Iris-setosa,Iris-setosa,True
5.1,1.5,Iris-setosa,Iris-setosa,True
5.4,1.7,Iris-setosa,Iris-setosa,True
5.1,1.5,Iris-setosa,Iris-setosa,True
4.6,1.0,Iris-setosa,Iris-setosa,True
5.1,1.7,Iris-setosa,Iris-setosa,True
4.8,1.9,Iris-setosa,Iris-setosa,True
5.0,1.6,Iris-setosa,Iris-setosa,True
5.0,1.6,Iris-setosa,Iris-setosa,True
5.2,1.5,Iris-setosa,Iris-setosa,True
5.2,1.4,Iris-setosa,Iris-setosa,True
4.7,1.6,Iris-setosa,Iris-setosa,True
4.8,1.6,Iris-setosa,Iris-setosa,True
5.4,1.5,Iris-setosa,Iris-setosa,True
5.2,1.5,Iris-setosa,Iris-setosa,True
5.5,1.4,Iris-setosa,Iris-setosa,True
4.9,1.5,Iris-setosa,Iris-setosa,True
5.0,1.2,Iris-setosa,Iris-setosa,True
5.5,1.3,Iris-setosa,Iris-setosa,True
4.9,1.5,Iris-setosa,Iris-setosa,True
4.4,1.3,Iris-setosa,Iris-setosa,True
5.1,1.5,Iris-setosa,Iris-setosa,True
5.0,1.3,Iris-setosa,Iris-setosa,True
4.5,1.3,Iris-setosa,Iris-setosa,True
4.4,1.3,Iris-setosa,Iris-setosa,True
5.0,1.6,Iris-setosa,Iris-setosa,True
5.1,1.9,Iris-setosa,Iris-setosa,True
4.8,1.4,Iris-setosa,Iris-setosa,True
5.1,1.6,Iris-setosa,Iris-setosa,True
4.6,1.4,Iris-setosa,Iris-setosa,True
5.3,1.5,Iris-setosa,Iris-setosa,True
5.0,1.4,Iris-setosa,Iris-setosa,True
7.0,4.7,Iris-versicolor,Iris-versicolor,True
6.4,4.5,Iris-versicolor,Iris-versicolor,True
6.9,4.9,Iris-versicolor,Iris-versicolor,True
5.5,4.0,Iris-versicolor,Iris-versicolor,True
6.5,4.6,Iris-versicolor,Iris-versicolor,True
5.7,4.5,Iris-versicolor,Iris-versicolor,True
6.3,4.7,Iris-versicolor,Iris-versicolor,True
4.9,3.3,Iris-versicolor,Iris-versicolor,True
6.6,4.6,Iris-versicolor,Iris-versicolor,True
5.2,3.9,Iris-versicolor,Iris-versicolor,True
5.0,3.5,Iris-versicolor,Iris-versicolor,True
5.9,4.2,Iris-versicolor,Iris-versicolor,True
6.0,4.0,Iris-versicolor,Iris-versicolor,True
6.1,4.7,Iris-versicolor,Iris-versicolor,True
5.6,3.6,Iris-versicolor,Iris-versicolor,True
6.7,4.4,Iris-versicolor,Iris-versicolor,True
5.6,4.5,Iris-versicolor,Iris-versicolor,True
5.8,4.1,Iris-versicolor,Iris-versicolor,True
6.2,4.5,Iris-versicolor,Iris-versicolor,True
5.6,3.9,Iris-versicolor,Iris-versicolor,True
5.9,4.8,Iris-versicolor,Iris-versicolor,True
6.1,4.0,Iris-versicolor,Iris-versicolor,True
6.3,4.9,Iris-versicolor,Iris-versicolor,True
6.1,4.7,Iris-versicolor,Iris-versicolor,True
6.4,4.3,Iris-versicolor,Iris-versicolor,True
6.6,4.4,Iris-versicolor,Iris-versicolor,True
6.8,4.8,Iris-versicolor,Iris-versicolor,True
6.7,5.0,Iris-versicolor,Iris-versicolor,True
6.0,4.5,Iris-versicolor,Iris-versicolor,True
5.7,3.5,Iris-versicolor,Iris-versicolor,True
5.5,3.8,Iris-versicolor,Iris-versicolor,True
5.5,3.7,Iris-versicolor,Iris-versicolor,True
5.8,3.9,Iris-versicolor,Iris-versicolor,True
6.0,5.1,Iris-versicolor,Iris-versicolor,True
5.4,4.5,Iris-versicolor,Iris-versicolor,True
6.0,4.5,Iris-versicolor,Iris-versicolor,True
6.7,4.7,Iris-versicolor,Iris-versicolor,True
6.3,4.4,Iris-versicolor,Iris-versicolor,True
5.6,4.1,Iris-versicolor,Iris-versicolor,True
5.5,4.0,Iris-versicolor,Iris-versicolor,True
5.5,4.4,Iris-versicolor,Iris-versicolor,True
6.1,4.6,Iris-versicolor,Iris-versicolor,True
5.8,4.0,Iris-versicolor,Iris-versicolor,True
5.0,3.3,Iris-versicolor,Iris-versicolor,True
5.6,4.2,Iris-versicolor,Iris-versicolor,True
5.7,4.2,Iris-versicolor,Iris-versicolor,True
5.7,4.2,Iris-versicolor,Iris-versicolor,True
6.2,4.3,Iris-versicolor,Iris-versicolor,True
5.1,3.0,Iris-versicolor,Iris-versicolor,True
5.7,4.1,Iris-versicolor,Iris-versicolor,True
